,temp_avg,temp_max,temp_min,encode_state,Year,Month,Precipitation,Total_Suntime
330,65.44235229,81.33578491,49.72597504,0,1923,7,2.293046746,1628797
331,66.16986084,82.7040863,54.52059555,0,1923,8,2.509446812,1527096
332,56.85337448,77.37007904,44.64199066,0,1923,9,1.507860809,1348083
333,45.81791306,62.74838638,31.9627285,0,1923,10,1.752125851,1251716
334,34.71377563,43.82701111,20.01727486,0,1923,11,1.050904057,1089063
335,24.54668045,39.96941757,15.66939068,0,1923,12,1.059697854,1059381
336,20.74596786,42.74907684,14.07014275,0,1924,1,0.94608185,1090103
337,26.65135384,36.63331604,10.47633171,0,1924,2,1.109604638,1118367
338,23.04070663,42.6317482,13.8406868,0,1924,3,1.370080839,1332804
339,42.54767609,54.20067215,28.57290077,0,1924,4,1.577960926,1426475
340,48.66638947,64.88368225,37.93233109,0,1924,5,1.986102537,1593714
341,60.91199875,73.83720398,45.78937531,0,1924,6,1.296498593,1601868
342,65.73851013,80.90330505,54.50083542,0,1924,7,1.938386284,1627060
343,62.96147919,75.71430969,48.44716644,0,1924,8,1.38747665,1524029
344,57.24094391,66.32165527,40.73664856,0,1924,9,1.366939399,1344702
345,46.17305756,52.49314499,28.98821449,0,1924,10,1.562619144,1248305
346,31.09465027,45.91633224,22.65019989,0,1924,11,0.970628844,1086586
347,24.86645699,35.26338196,12.27700043,0,1924,12,1.188156452,1058894
348,12.98549843,34.33112335,7.316821575,0,1925,1,0.862396271,1091997
349,29.67021942,43.78144836,18.85383797,0,1925,2,1.022961106,1080729
350,34.42890549,37.86094284,13.83582497,0,1925,3,1.216885567,1331655
351,42.67915344,53.79046249,26.21460533,0,1925,4,1.66843639,1425432
352,52.1281395,62.77561951,34.72628784,0,1925,5,1.890514026,1592938
353,60.51958847,78.23517609,45.28103256,0,1925,6,1.374984629,1601729
354,66.31441498,80.40374756,50.89835358,0,1925,7,2.348037506,1627630
355,65.69472504,81.53656006,47.69986343,0,1925,8,1.957691291,1525020
356,56.87863159,70.50078583,41.21144867,0,1925,9,1.438432406,1345789
357,45.79348755,61.84345627,34.4059906,0,1925,10,1.392222054,1249399
358,30.95604134,46.81649399,20.6692791,0,1925,11,1.054966349,1087373
359,25.0970974,31.69159508,9.278326035,0,1925,12,1.024312248,1059034
360,23.66355515,33.77310562,7.368963242,0,1926,1,0.906047247,1091351
361,28.4378376,43.27627563,18.25375748,0,1926,2,1.124490701,1079780
362,34.17546844,52.54042053,21.55131721,0,1926,3,1.733928467,1330508
363,42.27474213,60.06832504,30.61577225,0,1926,4,2.087066169,1424390
364,49.65343857,70.33391571,41.06668091,0,1926,5,2.410645518,1592161
365,62.34197235,76.06344604,47.17616272,0,1926,6,1.472199886,1601587
366,66.79807281,81.60923767,54.25427628,0,1926,7,2.292215717,1628196
367,64.03401947,76.56625366,50.33233643,0,1926,8,1.817573145,1526008
368,58.10079193,72.157341,43.81868744,0,1926,9,1.349270919,1346875
369,47.49841309,54.20655823,30.83814049,0,1926,10,1.446379005,1250491
370,34.74301529,44.31396484,19.56659508,0,1926,11,1.100063823,1088161
