,Precipitation,encode_state,Year,Month
7240,2.54167283,0,1963,5
7241,1.368282267,0,1963,6
7242,2.265387245,0,1963,7
7243,1.908500028,0,1963,8
7244,1.380550459,0,1963,9
7245,1.510136129,0,1963,10
7246,1.013038686,0,1963,11
7247,0.99346777,0,1963,12
7344,0.883502633,0,1964,1
7345,1.217267566,0,1964,2
7346,1.39956551,0,1964,3
7347,1.980263771,0,1964,4
7348,2.841663206,0,1964,5
7349,1.837101668,0,1964,6
7350,2.099698707,0,1964,7
7351,1.853895319,0,1964,8
7352,1.426735058,0,1964,9
7353,1.598532562,0,1964,10
7354,1.120372621,0,1964,11
7355,0.975378149,0,1964,12
7452,1.031837608,0,1965,1
7453,1.132399039,0,1965,2
7454,1.274464922,0,1965,3
7455,1.552663446,0,1965,4
7456,2.315396569,0,1965,5
7457,1.790102378,0,1965,6
7458,2.121979431,0,1965,7
7459,1.919364508,0,1965,8
7460,1.411436683,0,1965,9
7461,1.157742949,0,1965,10
7462,1.026821558,0,1965,11
7463,1.039946367,0,1965,12
7560,1.072188211,0,1966,1
7561,1.147184927,0,1966,2
7562,1.314313703,0,1966,3
7563,1.557484412,0,1966,4
7564,2.061442163,0,1966,5
7565,1.997325359,0,1966,6
7566,2.149181746,0,1966,7
7567,1.996510277,0,1966,8
7568,1.800359234,0,1966,9
7569,1.335678098,0,1966,10
7570,0.862700645,0,1966,11
7571,1.08350799,0,1966,12
7668,1.158162784,0,1967,1
7669,1.191420494,0,1967,2
7670,1.399637261,0,1967,3
7671,1.858001298,0,1967,4
7672,2.236911875,0,1967,5
7673,1.914651072,0,1967,6
7674,2.092061345,0,1967,7
7675,2.055783903,0,1967,8
7676,1.529555106,0,1967,9
7677,1.41619713,0,1967,10
7678,1.306508763,0,1967,11
7679,1.023850879,0,1967,12
7776,1.1292575,0,1968,1
7777,1.101200938,0,1968,2
7778,1.148425612,0,1968,3
7779,1.763864751,0,1968,4
7780,2.205072761,0,1968,5
7781,2.253213409,0,1968,6
7782,1.948604333,0,1968,7
7783,2.049237541,0,1968,8
7784,1.737775311,0,1968,9
7785,1.521239884,0,1968,10
7786,0.987423783,0,1968,11
